ApplicantIncome,CoapplicantIncome,LoanAmount,Credit_History,Dependents,Property_Area,Loan_Status
136958,0,6437605,1,0,Urban,1
161867,0,6047435,1,3,Urban,1
146932,90947,2097667,1,3,Rural,1
118694,0,1741063,1,1,Semiurban,1
134879,0,2315735,1,0,Semiurban,1
125268,0,4861414,1,1,Urban,1
69886,0,544055,1,1,Urban,1
152337,0,2548884,0,1,Rural,0
183266,0,5531372,0,0,Urban,0
102498,90947,6787393,1,0,Rural,1
127727,90947,6203020,1,2,Rural,1
141324,90947,911547,1,2,Urban,1
190203,90947,6580960,1,0,Urban,1
31023,90947,670221,0,0,Semiurban,1
56090,90947,5484391,1,0,Urban,1
82221,90947,3925413,1,0,Semiurban,1
79820,0,3985050,1,0,Rural,1
15769,90947,4251021,1,3,Urban,0
74735,90947,1670891,1,0,Urban,1
79925,0,4982648,0,0,Urban,0
20311,0,5434886,0,1,Urban,0
118355,90947,2934891,0,0,Semiurban,0
199779,90947,6277911,1,0,Semiurban,1
100305,0,980951,1,0,Semiurban,1
174765,90947,6066379,1,0,Urban,1
145608,90947,4177031,1,2,Urban,1
171730,0,5946684,1,0,Rural,1
99478,0,5481473,1,0,Semiurban,1
137537,90947,1403707,1,0,Rural,1
164503,90947,4387980,1,3,Semiurban,1
145523,90947,1079849,1,0,Rural,1
17747,0,4697825,1,2,Semiurban,0
138855,90947,5513510,1,0,Semiurban,1
80725,90947,1804288,0,2,Urban,0
144981,90947,6019079,1,2,Rural,1
99654,0,3241501,1,3,Rural,1
181845,90947,5827482,0,2,Urban,0
134346,0,5649458,1,0,Urban,1
82435,0,4905429,1,0,Urban,1
71886,90947,6214849,1,1,Rural,1
81803,0,4144570,1,2,Rural,1
46551,0,3942083,1,1,Rural,0
131216,90947,4739746,1,0,Urban,1
26394,0,3653860,0,1,Urban,0
84092,0,2750887,1,2,Urban,1
18890,0,3868632,0,0,Urban,0
56606,90947,644309,1,1,Rural,1
102313,0,1851469,1,2,Rural,1
156699,90947,4329383,1,0,Rural,1
23792,0,5997213,1,2,Semiurban,1
189073,0,5881709,1,0,Semiurban,1
169969,90947,6355172,0,0,Rural,0
83148,0,4956206,1,0,Rural,1
139243,90947,3798274,1,0,Urban,1
135174,90947,5497614,1,1,Rural,1
169555,0,223951,1,1,Semiurban,1
139358,0,4774534,1,0,Semiurban,1
63555,90947,5717721,1,1,Urban,1
32159,90947,2656509,1,0,Urban,1
125510,90947,6535640,1,3,Rural,1
121530,90947,5044235,0,3,Semiurban,0
95077,0,1464733,1,3,Rural,1
50920,90947,3171626,1,0,Rural,1
34457,90947,1033149,1,1,Rural,1
93953,90947,3086909,1,0,Urban,1
67995,90947,4901603,1,0,Rural,1
186829,90947,3949686,1,0,Semiurban,1
24692,0,526581,1,0,Urban,1
191830,90947,4871713,1,1,Rural,1
52065,90947,2831196,1,1,Semiurban,1
114299,90947,6496485,1,2,Rural,1
178678,90947,3524151,1,0,Semiurban,1
26534,0,1810588,1,1,Semiurban,1
55397,90947,5038481,1,1,Urban,1
106387,90947,5292380,1,2,Rural,0
16016,90947,6245247,1,0,Semiurban,1
70591,90947,2465026,1,1,Rural,1
38247,90947,1905456,0,2,Semiurban,0
39300,0,700047,1,0,Rural,1
97798,90947,4731463,1,0,Rural,1
24268,90947,4691168,1,0,Rural,1
101807,90947,3258670,1,1,Rural,1
27185,0,6307923,1,3,Semiurban,1
185171,90947,1324712,1,0,Rural,1
154643,0,3334871,1,1,Urban,1
53044,90947,1242234,1,2,Rural,1
66214,90947,3228002,1,2,Urban,1
129752,0,3605954,1,0,Semiurban,1
63984,90947,4714582,1,3,Semiurban,1
55774,90947,404379,1,2,Semiurban,1
17568,0,2160050,1,0,Rural,1
135151,0,1141577,1,0,Urban,1
148767,90947,6978888,1,0,Urban,1
139375,90947,2162409,1,0,Rural,1
194262,90947,805830,1,0,Semiurban,1
151330,90947,480743,1,3,Semiurban,1
54504,90947,1539150,1,1,Urban,1
179231,90947,1722889,1,2,Urban,1
28986,0,4714657,1,0,Urban,0
76858,0,3417905,0,3,Rural,0
144312,90947,2549352,1,0,Semiurban,1
27666,90947,6082893,0,1,Semiurban,1
53660,0,2793771,1,3,Rural,1
149633,90947,2446125,1,3,Urban,1
41854,90947,1546133,0,3,Rural,0
79505,0,4994048,1,0,Semiurban,1
119488,90947,6290664,1,2,Urban,1
198323,90947,5851635,1,2,Urban,0
